2023-04-02 00:07:14,450 INFO [root] [base_page.py | base_iframe_default:56] - 返回到默认表单!
2023-04-02 00:07:14,453 INFO [root] [page_shop.py | page_search_order:44] - 正在执行TPshop后台系统，订单查询测试用例！
2023-04-02 00:07:14,453 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:#workspace]
2023-04-02 00:07:14,461 INFO [root] [base_page.py | base_iframe_switch_to:52] - 正在切换到：<selenium.webdriver.remote.webelement.WebElement (session="212563f2613a7646441b5ca63ecefc4a", element="d2b1c921-e467-4d36-8106-f92a06c11e22")> iframe表单
2023-04-02 00:07:14,475 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[placeholder='下单开始时间']]
2023-04-02 00:07:14,483 INFO [root] [base_page.py | base_input:36] - 正在对[css selector:[placeholder='下单开始时间']]输入框进行清空
2023-04-02 00:07:14,507 INFO [root] [base_page.py | base_input:38] - 正在对[css selector:[placeholder='下单开始时间']]输入框输入内容：2012-02-01 00:00:00
2023-04-02 00:07:14,592 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[placeholder='下单结束时间']]
2023-04-02 00:07:14,602 INFO [root] [base_page.py | base_input:36] - 正在对[css selector:[placeholder='下单结束时间']]输入框进行清空
2023-04-02 00:07:14,626 INFO [root] [base_page.py | base_input:38] - 正在对[css selector:[placeholder='下单结束时间']]输入框输入内容：2023-04-04 00:00:00
2023-04-02 00:07:14,709 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:pay_status]
2023-04-02 00:07:14,728 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:1
2023-04-02 00:07:14,790 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:pay_code]
2023-04-02 00:07:14,808 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:1
2023-04-02 00:07:14,872 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:shipping_status]
2023-04-02 00:07:14,889 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:0
2023-04-02 00:07:14,950 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:order_status]
2023-04-02 00:07:14,967 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:4
2023-04-02 00:07:15,065 INFO [root] [base_page.py | base_click:42] - 正在点击[css selector:[value='搜索']]元素
2023-04-02 00:07:15,065 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[value='搜索']]
2023-04-02 00:07:16,132 INFO [root] [base_page.py | base_iframe_default:56] - 返回到默认表单!
2023-04-02 00:07:16,136 INFO [root] [page_shop.py | page_search_order:44] - 正在执行TPshop后台系统，订单查询测试用例！
2023-04-02 00:07:16,136 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:#workspace]
2023-04-02 00:07:16,144 INFO [root] [base_page.py | base_iframe_switch_to:52] - 正在切换到：<selenium.webdriver.remote.webelement.WebElement (session="212563f2613a7646441b5ca63ecefc4a", element="d2b1c921-e467-4d36-8106-f92a06c11e22")> iframe表单
2023-04-02 00:07:16,157 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[placeholder='下单开始时间']]
2023-04-02 00:07:16,165 INFO [root] [base_page.py | base_input:36] - 正在对[css selector:[placeholder='下单开始时间']]输入框进行清空
2023-04-02 00:07:16,188 INFO [root] [base_page.py | base_input:38] - 正在对[css selector:[placeholder='下单开始时间']]输入框输入内容：2012-02-01 00:00:00
2023-04-02 00:07:16,268 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[placeholder='下单结束时间']]
2023-04-02 00:07:16,276 INFO [root] [base_page.py | base_input:36] - 正在对[css selector:[placeholder='下单结束时间']]输入框进行清空
2023-04-02 00:07:16,298 INFO [root] [base_page.py | base_input:38] - 正在对[css selector:[placeholder='下单结束时间']]输入框输入内容：2023-04-04 00:00:00
2023-04-02 00:07:16,377 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:pay_status]
2023-04-02 00:07:16,393 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:1
2023-04-02 00:07:16,427 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:pay_code]
2023-04-02 00:07:16,442 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:0
2023-04-02 00:07:16,489 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:shipping_status]
2023-04-02 00:07:16,505 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:2
2023-04-02 00:07:16,562 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:order_status]
2023-04-02 00:07:16,578 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:5
2023-04-02 00:07:16,675 INFO [root] [base_page.py | base_click:42] - 正在点击[css selector:[value='搜索']]元素
2023-04-02 00:07:16,675 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[value='搜索']]
2023-04-02 00:07:17,733 INFO [root] [base_page.py | base_iframe_default:56] - 返回到默认表单!
2023-04-02 00:15:17,469 INFO [root] [base_page.py | __init__:13] - 正在初始化driver!
2023-04-02 00:15:17,469 INFO [root] [base_page.py | __init__:13] - 正在初始化driver!
2023-04-02 00:15:17,470 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:username]
